2025-09-16 14:33:47,716 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -1.80, New Balance: 9972.60
2025-09-16 14:33:47,716 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16802 on 2025-07-11 09:15:00 (SL: 1.16852, TP: 1.16702)
2025-09-16 14:33:47,720 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 3.90, New Balance: 9976.50
2025-09-16 14:33:47,720 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16743 on 2025-07-11 09:45:00 (SL: 1.16693, TP: 1.16843)
2025-09-16 14:33:47,722 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9984.50
2025-09-16 14:33:47,748 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17023 on 2025-07-11 16:30:00 (SL: 1.17073, TP: 1.16923)
2025-09-16 14:33:47,749 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9992.50
2025-09-16 14:33:47,750 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16834 on 2025-07-11 17:00:00 (SL: 1.16884, TP: 1.16734)
2025-09-16 14:33:47,753 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9985.50
2025-09-16 14:33:47,756 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17009 on 2025-07-11 18:30:00 (SL: 1.16959, TP: 1.17109)
2025-09-16 14:33:47,757 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9978.50
2025-09-16 14:33:47,760 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16928 on 2025-07-11 19:00:00 (SL: 1.16978, TP: 1.16828)
2025-09-16 14:33:47,762 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -0.90, New Balance: 9977.60
2025-09-16 14:33:47,762 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16917 on 2025-07-11 19:15:00 (SL: 1.16867, TP: 1.17017)
2025-09-16 14:33:47,770 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -1.70, New Balance: 9975.90
2025-09-16 14:33:47,771 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.1692 on 2025-07-11 21:30:00 (SL: 1.16970, TP: 1.16820)
2025-09-16 14:33:47,773 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 3.10, New Balance: 9979.00
2025-09-16 14:33:47,774 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16869 on 2025-07-11 22:00:00 (SL: 1.16819, TP: 1.16969)
2025-09-16 14:33:47,775 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 0.60, New Balance: 9979.60
2025-09-16 14:33:47,775 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16895 on 2025-07-11 22:15:00 (SL: 1.16945, TP: 1.16795)
2025-09-16 14:33:47,784 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9987.60
2025-09-16 14:33:47,798 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16929 on 2025-07-14 03:45:00 (SL: 1.16879, TP: 1.17029)
2025-09-16 14:33:47,803 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9980.60
2025-09-16 14:33:47,810 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16806 on 2025-07-14 06:45:00 (SL: 1.16856, TP: 1.16706)
2025-09-16 14:33:47,817 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9988.60
2025-09-16 14:33:47,829 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16852 on 2025-07-14 11:30:00 (SL: 1.16802, TP: 1.16952)
2025-09-16 14:33:47,847 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9981.60
2025-09-16 14:33:47,849 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.1679 on 2025-07-14 16:30:00 (SL: 1.16840, TP: 1.16690)
2025-09-16 14:33:47,852 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9974.60
2025-09-16 14:33:47,875 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16659 on 2025-07-14 23:30:00 (SL: 1.16609, TP: 1.16759)
2025-09-16 14:33:47,878 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9967.60
2025-09-16 14:33:47,881 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16633 on 2025-07-15 00:45:00 (SL: 1.16683, TP: 1.16533)
2025-09-16 14:33:47,890 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9960.60
2025-09-16 14:33:47,892 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16737 on 2025-07-15 03:30:00 (SL: 1.16687, TP: 1.16837)
2025-09-16 14:33:47,895 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9953.60
2025-09-16 14:33:47,934 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16832 on 2025-07-15 13:45:00 (SL: 1.16882, TP: 1.16732)
2025-09-16 14:33:47,936 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9961.60
2025-09-16 14:33:47,970 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16018 on 2025-07-15 23:45:00 (SL: 1.15968, TP: 1.16118)
2025-09-16 14:33:47,986 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9969.60
2025-09-16 14:33:48,018 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16129 on 2025-07-16 13:00:00 (SL: 1.16179, TP: 1.16029)
2025-09-16 14:33:48,025 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9977.60
2025-09-16 14:33:48,042 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16289 on 2025-07-16 18:45:00 (SL: 1.16239, TP: 1.16389)
2025-09-16 14:33:48,044 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9985.60
2025-09-16 14:33:48,059 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16354 on 2025-07-16 22:45:00 (SL: 1.16404, TP: 1.16254)
2025-09-16 14:33:48,061 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9978.60
2025-09-16 14:33:48,069 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.1638 on 2025-07-17 01:15:00 (SL: 1.16330, TP: 1.16480)
2025-09-16 14:33:48,076 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9971.60
2025-09-16 14:33:48,079 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16201 on 2025-07-17 03:30:00 (SL: 1.16251, TP: 1.16101)
2025-09-16 14:33:48,084 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9964.60
2025-09-16 14:33:48,100 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.1608100000000001 on 2025-07-17 09:00:00 (SL: 1.16031, TP: 1.16181)
2025-09-16 14:33:48,102 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9957.60
2025-09-16 14:33:48,132 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.15892 on 2025-07-17 17:30:00 (SL: 1.15842, TP: 1.15992)
2025-09-16 14:33:48,139 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9965.60
2025-09-16 14:33:48,148 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.15831 on 2025-07-17 21:15:00 (SL: 1.15881, TP: 1.15731)
2025-09-16 14:33:48,151 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9958.60
2025-09-16 14:33:48,157 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.15949 on 2025-07-17 23:15:00 (SL: 1.15899, TP: 1.16049)
2025-09-16 14:33:48,166 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9966.60
2025-09-16 14:33:48,191 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16145 on 2025-07-18 08:15:00 (SL: 1.16195, TP: 1.16045)
2025-09-16 14:33:48,197 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9959.60
2025-09-16 14:33:48,203 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.1638600000000001 on 2025-07-18 11:15:00 (SL: 1.16336, TP: 1.16486)
